Stock Invested in,Ticker,Weights
# Bharti Airtel Ltd.,BHARTIARTL.NS,10.05%
# ITC Limited,ITC.NS,10.03%
# Mahindra & Mahindra Ltd.,M&M.NS,7.97%
# Hindustan Unilever Ltd.,HINDUNILVR.NS,6.76%
# Maruti Suzuki India Ltd.,MARUTI.NS,5.10%
# Zomato Ltd.,ZOMATO.NS,4.73%
# Titan Company Ltd.,TITAN.NS,4.26%
# Trent Limited,TRENT.NS,3.99%
# Asian Paints (india) Ltd.,ASIANPAINT.NS,3.57%
# InterGlobe Aviation Ltd.,INDIGO.NS,3.38%
# Bajaj Auto Ltd.,BAJAJ-AUTO.NS,2.95%
# Max Healthcare Institute Ltd.,MAXHEALTH.NS,2.75%
# Nestle India Ltd.,NESTLEIND.NS,2.72%
# Eicher Motors Ltd.,EICHERMOT.NS,2.48%
# Varun Beverages Ltd.,VBL.NS,2.44%
# Indian Hotels Company Limited,INDHOTEL.NS,2.33%
# Apollo Hospitals Enterprises Ltd.,APOLLOHOSP.NS,2.25%
# Tata Consumer Products Ltd.,TATACONSUM.NS,2.20%
# Tata Power Co. Ltd.,TATAPOWER.NS,2.13%
# Avenue Supermarts Ltd.,DMART.NS,2.03%
# Britannia Industries Ltd.,BRITANNIA.NS,1.96%
# TVS Motor Company Ltd.,TVSMOTOR.NS,1.92%
# Info Edge (India) Ltd.,NAUKRI.NS,1.88%
# Godrej Consumer Products Ltd,GODREJCP.NS,1.87%
# Hero Motocorp Ltd.,HEROMOTOCO.NS,1.63%
# DLF Ltd.,DLF.NS,1.47%
# United Spirits Ltd.,UNITDSPR.NS,1.40%
# Adani Power Ltd.,ADANIPOWER.NS,1.35%
# Havells India Ltd.,HAVELLS.NS,1.30%
# Colgate - Palmolive (India) Limited,COLPAL.NS,1.06%
